 
 THIS IS FOR STATION NUMBER 7312 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 1959    696    486    439    399    121     66     56     47
 1960    739    512    464    417    344    242    219    196
 1961    596    407    366    327      0      0      0      0
 1962    625    426    383    341    450    293    259    228
 1963    766    536    481    428    693    476    430    389
 1964    705    490    442    394    119     75     65     56
 1965    522    315    272    235    391    257    227    198
 1966    672    462    420    379    267    180    160    143
 1967    661    448    401    359    166    104     93     83
 1968    688    456    404    360    415    260    226    195
 1969    732    502    452    406    232    157    142    127
 1970    725    503    453    409    379    229    198    169
 1971    751    537    488    442    527    342    305    269
 1972    702    486    435    388    254    172    154    138
 1973    686    464    414    365    529    353    315    280
 1974    437    301    270    243      0      0      0      0
 1975    601    410    366    323      8      4      3      2
 1976    732    528    485    442    121     87     80     73
 1977    729    502    450    402    113     59     48     38
 1978    855    627    574    522    363    225    196    168
 1979    691    493    451    411    153    102     90     78
 1980    691    483    434    388    146    102     93     84
 1981    646    447    401    361    208    118     98     78
 1982    651    449    403    359    263    162    142    126
 1983    686    481    435    393    335    185    158    133
 1984    627    427    379    340    341    212    181    153
 1985    654    454    408    364    350    213    183    156
 1986    719    496    442    390    166     96     82     70
 1987    691    465    419    377     39     29     27     25
 1988    673    461    415    372     53     31     27     23
 1989    616    428    385    342     49     36     33     30
 1990    752    534    487    440    139     92     82     72
 1991    646    456    412    370     70     40     35     31
 1992    599    413    370    327    218    131    116    104
 1993    491    293    255    220    144     97     86     75
 1994    688    470    421    374    368    220    188    159
 1995    588    403    359    319    296    189    166    145
 1996    582    387    345    307    399    252    222    194
 1997    713    495    451    408    395    275    248    222
 1998    819    591    538    485    411    248    216    187
     ****************************  *************************** 
 MEAN  682.2  472.0  425.2  381.3  276.9  177.4  156.5  137.3
