 
 THIS IS FOR STATION NUMBER 1394 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 1967    639    448    407    369      0      0      0      0
 1968    710    500    455    411     72     52     47     42
 1969    768    547    496    449    279    193    175    157
 1970    769    553    502    453    256    168    149    132
 1971    820    602    554    508    630    438    395    352
 1972    814    592    537    485    275    185    167    150
 1973    764    532    480    430    606    414    371    329
 1974    450    315    286    258      0      0      0      0
 1975    644    440    393    348      8      4      3      2
 1976    715    500    453    410    115     81     75     69
 1977    787    559    506    454    133     73     59     48
 1978    859    627    572    521     93     58     50     42
 1979    775    571    526    482     66     44     39     35
 1980    806    586    535    486    196    137    125    113
 1981    772    551    501    453    325    212    187    164
 1982    747    528    478    430    363    238    211    185
 1983    795    578    529    481    475    289    252    220
 1984    730    526    479    432      0      0      0      0
 1985    773    557    507    458    467    281    243    208
 1986    865    631    574    519    499    304    263    224
 1987    744    514    466    419     42     34     32     30
 1988    808    592    543    494     61     38     33     28
 1989    525    362    325    289      0      0      0      0
 1990    793    575    525    478    270    177    157    139
 1991    577    433    400    367      0      0      0      0
 1992    652    445    399    354    254    160    142    126
 1993    548    349    307    268    166    115    104     93
 1994    693    483    437    393    186    119    103     88
 1995    627    430    384    343    325    213    189    167
 1996    633    424    380    337    440    281    245    211
 1997    735    520    471    425    383    271    244    219
 1998    837    612    560    508    445    281    247    214
     ****************************  *************************** 
 MEAN  728.0  518.6  471.2  425.9  249.7  166.1  147.9  130.8
 STDV   88.8   73.6   69.3   65.2  196.1  133.4  119.8  107.0
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-1998 FOR STATION NUMBER 1394
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  52 -12  70 -31  70 -32  82  19  89  29  88  37  99  45 101  42  99  35  91  24  79  18  65   4
  2  54 -20  65 -29  75  -3  86  14  88  27  87  40  99  45  99  49  98  41  94  18  77   9  66  -1
  3  58 -17  65 -38  79   2  84   8  89  26  92  34  97  42  99  49  94  36  89  26  77   5  63  -6
  4  56 -19  64 -32  75 -11  80  15  90  27  92  40  98  44 104  44  96  33  91  24  75  -3  65   0
  5  58 -12  54 -29  69 -29  79  15  89  28  97  40  98  39  97  44  94  36  95  26  67   7  67  -4
  6  54 -23  57 -23  69 -22  90   8  88  26  92  42 100  43  98  48  95  36  93  26  73  12  64  -6
  7  54 -25  60 -10  72  -5  83  12  90  29  93  42  99  47 100  42  96  36  90  22  75  -9  59  -9
  8  58 -17  62 -21  75  -4  79  12  91  28  97  45  96  52  99  46  94  36  83  23  76 -13  60 -12
  9  52 -16  68 -31  74  -6  83  16  89  29  98  43  98  46  98  47  99  37  83  22  70  -2  56 -14
 10  49 -23  71 -18  75   0  83  19  88  30  95  39  99  44  97  49  95  34  90  26  70  12  61  -9
 11  52 -22  68 -18  80   2  84  18  90  27  95  46  99  49  96  46  91  36  88  19  77   3  65  -6
 12  58 -22  64 -25  78 -17  83  16  94  31  95  45 101  51  97  44  92  32  89  24  70   0  62 -20
 13  59 -13  70 -16  78 -15  78  17  92  30  95  38 101  44  97  39  93  36  87  23  71   1  60 -22
 14  64 -28  70 -12  75   4  82  16  89  30  97  43 101  43  97  46  94  33  86  25  75   4  60 -20
 15  55 -26  68  -8  74   7  82  19  89  30  94  43 100  45 100  43  96  34  89  23  73   3  56 -14
 16  58 -19  62 -22  76   0  86  20  86  28  93  39  98  48 103  44  93  34  86  25  73   6  60 -20
 17  62 -20  65 -20  75   8  86  22  87  32  91  39 100  45 103  46  95  36  85  16  71   1  56  -8
 18  61 -14  66 -20  71   3  86  20  91  36  96  43 101  53 102  44  95  34  82  20  72   7  63 -19
 19  60 -19  65 -21  75   6  85  17  91  35 101  48 100  51 101  49  91  31  85  14  67   7  57 -17
 20  52 -22  64  -5  74   8  88  22  91  29  99  46 100  52  98  41  90  28  85  18  67  11  58 -15
 21  60 -24  65  -6  73  -1  89  23  90  34 100  36 101  46  98  46  89  35  84  23  67   2  56 -21
 22  62 -11  66 -14  83  14  89  22  90  32  99  45 102  49  97  46  88  27  82  15  71   7  58 -22
 23  58 -20  65 -19  82   2  87  18  89  30  96  42 101  52  98  42  84  29  84  18  69   6  61 -31
 24  62 -11  64 -12  89   3  86  19  91  35 100  43  96  54  96  41  90  28  80  19  65   5  56 -25
 25  61 -12  64  -9  85   5  89  28  94  33 102  45  96  50  97  40  90  31  80  19  66  -5  64 -14
 26  52 -15  71 -24  79  -1  89  23  94  36  98  45 104  45 100  42  93  30  84  20  64  -3  56 -21
 27  47 -22  71  -7  84   6  89  27  92  32  98  40 106  45 101  42  92  31  80  11  73   4  56 -18
 28  53 -26  71 -15  82   4  90  28  88  33  99  46 102  50  99  38 100  30  78  13  69  -9  69 -11
 29  58 -22 *** ***  87   8  89  20  90  34  98  48 101  47 102  42  93  23  74  11  64  -3  68 -11
 30  59 -18 *** ***  84   5  88  28  92  37  99  50 102  44 100  45  92  25  77  13  70 -13  62 -11
 31  57 -35 *** ***  81  14 *** ***  88  37 *** *** 103  40  98  42 *** ***  83  18 *** ***  63 -17
 
 DAILY MAXIMUM PRECIPITATION OCCURRING DURING 1951-1998 FOR STATION NUMBER 1394
     JAN   FEB   MARCH APRIL MAY   JUNE  JULY  AUG   SEPT  OCT   NOV   DEC
 
  1  0.54  0.79  1.21  1.05  1.31  2.13  0.81  1.14  1.36  0.95  1.55  0.78
  2  0.40  0.89  1.24  0.53  0.72  1.62  1.69  1.30  2.95  1.21  1.86  0.15
  3  0.46  0.27  1.06  1.55  1.49  1.50  3.40  1.27  3.05  1.05  2.03  0.55
  4  0.65  0.32  1.26  0.86  1.16  2.13  5.48  1.68  1.22  1.01  1.20  0.79
  5  0.82  0.79  1.00  0.75  1.12  0.89  5.50  2.40  3.14  2.30  0.43  0.95
  6  0.45  0.20  1.21  0.81  2.39  0.75  1.25  1.72  1.70  0.68  0.29  0.18
  7  0.31  0.34  0.61  0.13  2.65  0.75  1.85  1.06  1.30  0.67  0.54  1.03
  8  0.08  0.42  1.09  1.21  2.51  2.97  0.55  5.81  1.33  1.00  0.45  1.96
