 
 THIS IS FOR STATION NUMBER  133 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  46 -23  52 -20  65 -25  79  10  91  24  89  38 101  47  98  49  93  39  93  27  73  15  61  -6
  2  47 -20  54 -28  64  -8  82  11  89  25  88  38  94  48  96  48  92  43  91  24  76   8  68 -12
  3  48 -20  43 -24  67  -2  78   6  86  21  94  39 101  44  97  44  94  34  93  28  81   3  63 -12
  4  45 -18  53 -19  63 -13  74  10  90  25  94  40  97  42  95  45  92  39  94  27  75  -2  56  -8
  5  47 -24  54 -23  60 -17  87  17  87  29 100  42  98  46  95  43  91  39  93  26  66   2  57  -6
  6  41 -26  53 -19  68 -11  90   9  88  28  95  41  96  47  97  48  95  38  91  24  72   0  55 -18
  7  51 -23  63 -15  72 -10  83  15  90  29  97  44 104  45  96  44  95  37  90  22  73  -4  51 -15
  8  50 -20  56 -22  58  -8  82  10  88  30 105  39  98  50  93  50  94  38  85  21  72  -4  51 -15
  9  46 -23  57 -21  62  -9  88  12  92  26  96  40  98  51  93  46  95  40  80  23  79  11  51 -20
 10  48 -25  56 -16  68  -4  85  17  93  27  96  43  99  48  96  46  92  38  81  25  70  -1  57 -11
 11  47 -19  59 -22  64  -9  85  22  90  29  93  42  97  49  93  44  90  33  84  19  68 -11  57 -13
 12  52 -21  62 -16  71 -12  83  16  86  31  96  46  99  47  94  47  92  33  88  24  66  -2  60 -13
 13  55 -15  55 -10  67  -9  80  16  92  28 100  39 101  48  97  42  93  34  88  25  67   0  53 -21
 14  50 -22  60 -11  63 -10  87  19  93  32  98  43  96  48  96  45  91  35  86  25  76  -6  52 -17
 15  56 -25  53 -11  68   2  82  20  89  30  93  40  96  52 101  44  95  35  88  23  69   0  55 -17
 16  47 -24  59 -20  75   2  87  20  90  30  96  42  95  46 100  48  94  36  81  28  70  -3  52 -15
 17  44 -20  65 -19  70  -6  86  20  93  34  93  44  97  48 101  49  93  36  82  15  70 -10  51 -17
 18  49 -25  60 -10  66  -1  93  18  94  35  97  48  99  50  99  47  90  37  79  21  68   1  53 -23
 19  49 -27  56 -20  70  -1  87  19  92  37  97  43  98  53  97  40  95  31  80  13  72   4  49 -26
 20  44 -25  59 -15  62   0  86  25  92  35  98  42  98  45  99  40  94  30  81  16  63   3  52 -25
 21  45 -29  54 -14  70  -4  91  20  91  35  97  42  98  48  97  43  87  31  79  23  66  -6  48 -23
 22  49 -19  54  -8  76   4  90  25  92  28  92  44  99  50  96  49  85  26  81  16  66   2  46 -23
 23  55 -25  57 -12  71  -1  86  24  93  32  92  44 100  46  95  44  81  29  81  22  62  -5  45 -30
 24  61 -18  60 -15  82  -5  88  20  90  34  94  45  99  50  94  45  86  30  80  20  63   0  43 -24
 25  52 -13  54 -10  78   2  88  27  97  40  95  43  94  50  93  39  89  34  82  20  69  -6  46 -18
 26  44 -17  59 -11  77   0  86  28  98  34  97  46  98  48  98  43  90  28  83  20  62 -10  50 -24
 27  42 -18  54 -14  76   6  91  28  90  34  98  43  98  46 101  43  93  32  78  16  67  -4  49 -15
 28  42 -20  52 -24  80   2  92  28  90  33  96  41  98  50  97  42  90  28  79  15  71  -6  46 -22
 29  46 -26 *** ***  83  -4  87  22  94  35  99  50  98  47  95  45  84  24  72  18  57  -8  44 -14
 30  50 -18 *** ***  84  -2  89  26  94  42  99  47 100  43  93  47  91  27  74  17  65 -10  50 -18
 31  53 -24 *** ***  83   6 *** ***  91  39 *** *** 101  44  93  41 *** ***  77  14 *** ***  48 -20
 
 DAILY MAXIMUM PRECIPITATION OCCURRING DURING 1951-1999 FOR STATION NUMBER  133
     JAN   FEB   MARCH APRIL MAY   JUNE  JULY  AUG   SEPT  OCT   NOV   DEC
 
  1  0.17  0.40  0.76  0.51  1.30  0.97  0.60  2.06  0.57  0.85  1.52  0.40
  2  0.52  0.50  0.50  0.65  1.40  1.10  1.78  1.54  0.71  0.71  1.11  0.58
  3  0.41  0.18  0.62  1.45  0.65  1.65  1.13  1.90  0.63  1.68  0.42  0.20
  4  0.30  0.50  1.21  0.90  1.08  3.40  2.50  0.89  1.12  1.12  0.85  0.58
  5  0.60  0.46  0.51  1.07  1.40  2.17  1.94  2.29  2.78  0.38  1.25  0.62
  6  0.25  0.32  1.06  2.11  0.78  0.88  4.70  1.13  1.54  0.96  0.82  0.18
  7  0.20  0.09  0.73  0.88  1.30  2.63  2.12  1.35  1.45  1.20  0.27  0.75
  8  0.15  0.25  2.65  0.71  1.65  2.33  1.95  3.10  2.57  1.94  0.50  0.21
  9  0.04  0.28  1.06  1.06  1.02  1.48  2.49  0.47  0.90  1.02  0.60  0.39
 10  0.29  0.96  0.20  0.70  1.39  1.51  2.19  1.89  1.32  1.33  1.54  0.08
 11  1.30  0.12  0.56  0.65  1.44  0.69  1.65  0.79  0.43  1.40  2.00  0.57
 12  0.83  1.20  0.98  0.71  0.84  2.35  1.71  0.55  1.62  1.52  0.59  0.45
 13  0.16  0.04  1.77  2.13  2.00  2.10  1.47  0.86  4.25  1.65  0.53  0.50
 14  0.58  0.35  1.02  0.81  1.25  1.82  2.12  1.80  1.30  0.71  0.60  0.65
 15  0.30  0.56  0.55  0.86  0.72  1.92  1.02  1.33  1.20  1.46  1.55  0.34
 16  0.52  0.28  0.48  1.90  2.09  2.53  1.03  3.87  0.50  0.75  1.00  0.94
 17  0.20  0.26  0.90  1.19  1.05  1.81  1.80  0.62  1.62  1.78  0.77  0.25
 18  0.73  0.91  1.16  0.84  1.11  6.18  1.65  1.52  1.04  0.40  0.66  0.26
 19  0.62  1.57  0.70  0.88  1.05  1.17  1.72  1.33  2.13  0.61  0.59  0.60
 20  0.40  0.88  1.00  1.40  1.05  0.89  2.03  1.04  3.24  0.98  1.35  0.29
 21  0.30  1.24  0.55  2.00  3.49  1.71  0.88  1.20  1.22  0.66  1.35  0.35
 22  0.42  0.26  0.69  0.77  0.68  1.82  1.54  5.20  1.36  1.42  0.53  0.41
 23  0.68  0.60  1.44  1.64  2.05  3.40  1.00  1.34  1.00  1.06  0.56  0.47
 24  0.28  0.20  0.82  3.38  1.87  5.09  1.99  2.68  1.17  0.48  0.66  0.56
 25  0.30  0.70  1.24  0.79  1.03  2.10  1.93  1.12  2.83  0.20  0.50  0.78
 26  0.29  0.30  1.05  0.50  1.42  2.84  0.75  1.69  2.04  0.32  0.49  0.75
 27  0.31  0.74  0.76  2.16  0.85  1.21  1.95  0.79  0.64  1.04  0.20  0.34
 28  0.50  0.88  0.95  2.01  2.12  1.41  2.04  1.56  1.40  0.40  1.14  1.03
 29  0.25******  0.97  1.07  1.06  2.00  1.54  3.25  2.06  0.95  0.59  0.42
 30  0.68******  1.49  1.31  1.90  1.74  1.33  1.65  1.77  1.41  2.42  0.49
 31  0.20******  1.10******  1.60******  3.70  7.17******  1.22******  0.13
 
 RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) DURING 1951-1999 FOR STATION NUMBER  133
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1 33   2  33   6  37   5  41   5  44   2  40  11  35  13  38  11  40   5  50  11  39   4  36   3
