 
 THIS IS FOR STATION NUMBER 6940 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.58   0.46  67(67) 21(21)  9( 9)  3( 3)  0( 0)    0      100
 MEAN 1069.4  821.8  760.2  698.9 1016.4  769.7  709.1  649.4
 STDV   44.9   44.5   44.2   43.7   62.4   61.2   60.2   58.7
 
               SEPTEMBER                   OCTOBER
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    609    415    372    332      0      0      0      0
 1952    789    574    524    477     67     43     37     32
 1953    790    585    539    496    554    395    361    327
 1954    863    632    579    528    450    277    240    207
 1955    838    619    567    518    286    197    176    155
 1956    759    548    504    461    637    434    390    350
 1957    667    449    402    359    350    195    165    135
 1958    809    583    529    479    490    338    303    269
 1959    736    523    474    428    362    206    172    143
 1960    790    571    521    471    343    234    210    187
 1961    679    470    422    375    346    235    211    187
 1962    710    498    450    405    475    317    283    251
 1963    807    576    521    468    718    503    455    410
 1964    748    532    482    433    128     85     76     67
 1965    668    452    404    359    438    296    265    235
 1966    668    458    411    367    300    208    186    165
 1967    700    487    437    389    200    130    113     97
 1968    765    543    494    447     66     46     41     36
 1969    805    572    520    470    257    179    162    146
 1970    774    559    508    458    234    159    143    127
 1971    816    598    549    501    614    417    375    336
 1972    825    603    550    497    311    212    189    169
 1973    770    539    485    431    593    417    378    340
 1974    666    469    425    386      0      0      0      0
 1975    661    457    411    369    337    247    227    207
 1976    761    547    499    454    114     79     72     66
 1977    821    589    535    484    191    115    100     85
 1978    868    646    594    543     85     52     46     40
 1979    747    554    510    467     69     46     41     36
 1980    778    565    515    468     33     23     21     19
 1981    733    525    480    437     14     10      9      8
 1982    702    486    438    392    353    231    207    184
 1983    636    474    436    399      0      0      0      0
 1984    700    511    465    420      0      0      0      0
 1985    719    512    465    418      0      0      0      0
 1986    859    626    569    515    181    108     94     80
 1987    711    502    458    417     38     29     27     25
 1988    835    617    565    515     57     37     33     29
 1989    721    516    470    425    319    213    191    171
 1990    856    632    581    530    184    124    111     99
 1991    794    587    540    494     85     53     46     41
 1992    751    544    496    448    202    135    122    110
 1993    610    396    350    308    191    133    120    108
 1994    820    594    542    493    451    302    267    235
 1995    543    390    353    316      0      0      0      0
 1996    697    482    435    389    515    334    293    255
 1997    765    538    491    445    455    306    277    249
 1998    897    661    604    549    505    327    290    254
 1999    671    474    429    388     40     28     25     22
     ****************************  *************************** 
 MEAN  749.4  536.6  488.0  441.4  258.1  172.8  154.3  136.9
 STDV   76.8   65.9   62.9   59.9  203.8  138.9  124.9  111.7
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-1999 FOR STATION NUMBER 6940
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  55 -15  60 -23  79 -20  91  19  92  28  92  37 102  46 102  51  99  43  94  26  76  19  63   0
  2  56 -14  67 -22  76  -4  88  13  92  27  93  40 100  47 104  49  97  42  93  26  78  10  67  -2
  3  58 -14  57 -28  80   1  82   2  89  26  95  35 100  47 100  46  96  33  90  24  78   7  62  -4
  4  56 -16  56 -24  72 -15  80  19  92  30  95  40 102  47 103  42  98  39  93  26  76  -1  65   4
  5  60 -21  60 -17  73 -21  85  18  94  31  98  43  99  42  97  46  96  38  93  24  70  10  66  -1
  6  49 -22  63 -20  76 -12  91   8  91  30  97  40 103  50  98  50  98  38  92  23  80   9  57  -6
  7  48 -20  65 -13  75  -4  87  16  95  27  97  42 101  50 103  46  99  38  90  20  72  -3  59  -8
  8  53 -15  62 -25  79  -3  85  21  92  29 103  43 101  52  98  48 100  35  86  22  75  -3  61 -12
  9  49 -18  61 -23  77  -3  88  18  92  29  98  45 101  50 101  47 101  42  89  26  79  16  57  -8
 10  52 -26  58 -11  74  -2  88  20  92  33  97  40 101  49 100  46  95  34  91  24  75  12  59 -12
 11  59 -18  73 -23  84  -2  92  25  92  28  99  45 104  52 100  42  94  38  85  15  76  -5  64  -6
 12  59 -27  72 -17  76 -19  87  17  97  33  98  42 104  49 101  44  94  36  90  23  70   0  63 -11
 13  62 -15  62  -9  74 -17  81  17  90  28 100  42 108  41  99  42  93  34  89  18  72  -3  60 -16
 14  58 -17  70  -7  77   0  87  22  93  34 100  46 104  47 104  50  99  36  87  22  82   1  58 -17
 15  59 -18  63  -8  74   8  83  20  88  31 100  41 100  50 106  48  96  32  86  23  72  13  55 -15
 16  63 -23  65 -21  78  11  89  25  89  36  98  42 104  52 104  52  95  35  84  22  73   4  58 -13
 17  58 -21  67 -21  77  10  87  24  91  34  98  44 107  53 105  49  95  30  82  14  72   2  59 -11
 18  64 -16  64 -18  76   5  92  19  95  35 103  50 104  52 103  47  95  30  83  22  71  10  66 -18
 19  53 -15  67 -10  75   5  90  25  93  38 104  41 106  52  99  46  94  29  83  13  72   9  59 -21
