 
 THIS IS FOR STATION NUMBER 6327 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  2  58 -16  62 -27  75  -4  86  18  89  28  87  43  97  48 101  52  98  47  96  26  77  11  68  -8
  3  56 -13  63 -29  79   3  82   9  88  28  95  38  97  50 103  52  95  38  89  29  78   8  65  -7
  4  55 -19  54 -22  72 -11  80  11  90  31  92  41 101  47 105  44  97  38  91  29  76   2  64  -2
  5  59 -19  57 -17  66 -21  81  16  90  33  99  44  99  45  97  46  95  39  93  27  69  12  71  -6
  6  57 -18  55 -15  73 -20  84  17  88  30  98  43 103  48  98  49  96  40  91  21  74  12  65  -5
  7  53 -16  62 -10  72  -8  79  19  90  29  96  47 101  46  98  47  96  37  86  22  75  -5  57 -12
  8  55 -13  59 -12  77  -4  78  18  90  33  96  47  97  50  98  50  96  43  85  26  75  -5  58  -8
  9  50 -16  61 -25  72  -3  85  16  90  34  94  44  97  50  98  49 101  42  85  25  80  14  57 -18
 10  52 -22  57 -12  75   2  83  20  86  28  97  42 100  49 101  48  91  42  88  21  77  14  60  -5
 11  54 -15  65 -15  79   2  86  18  89  35  95  44 101  50  96  48  91  35  85  21  77   2  63  -9
 12  57 -19  69 -17  78  -7  80  21  97  34  97  48 102  49 101  47  92  34  88  27  70   6  60 -13
 13  60 -11  62 -15  72  -7  77  22  93  32  96  45 104  47  98  44  93  35  88  21  72   2  60 -17
 14  63 -26  68 -11  75  -2  81  24  91  33  97  46 103  47  99  49  95  38  87  29  78   2  58 -12
 15  58 -22  62 -11  74   7  83  23  86  33  94  46 104  50 102  46  97  38  89  27  73   2  56 -14
 16  61 -22  65 -19  75  -5  87  22  87  34  91  44  97  52 104  46  94  36  87  28  74   4  58 -16
 17  57 -17  68 -23  77   8  87  19  89  37  91  44  98  47 104  47  95  38  85  25  72  -1  54  -6
 18  60 -19  67 -15  71   8  87  24  91  40  98  45 100  51 105  47  95  38  85  18  75   7  63 -18
 19  60 -17  61 -14  77   8  84  27  89  37  99  46  99  52 102  49  93  31  86  18  75  15  56 -22
 20  51 -22  63 -12  75   8  88  25  89  32  99  49 101  52  99  45  89  27  86  21  65  10  57 -18
 21  61 -22  65  -6  73   2  91  27  90  39 101  43 100  50  98  45  88  32  84  23  70   4  53 -19
 22  58  -8  66  -4  83  12  92  26  90  33  97  46 104  53  98  50  91  30  81  20  69  11  59 -21
 23  57 -19  61  -9  80   7  87  21  90  31  95  46 103  54  99  46  82  32  84  23  67   5  61 -24
 24  61 -12  65  -8  81   1  87  17  91  39 102  44  97  54  95  45  90  29  81  24  63   6  55 -22
 25  62 -10  69  -5  78   3  87  30  93  39 103  47  96  54  99  43  90  36  81  22  68   0  57 -16
 26  56 -15  64 -19  84   0  87  35  93  36  98  50 105  48 103  44  91  28  84  22  72  -4  55 -18
 27  57 -21  72  -9  79   9  88  30  90  36  97  45 106  48  99  46  92  36  80  14  63   9  57 -14
 28  49 -23  66 -14  83   7  90  31  91  38  97  52 104  51  99  40 101  30  76  16  68  -3  70 -12
 29  55 -21 *** ***  87   9  90  25  90  36  98  52 103  48  99  45  93  26  75  13  62  -4  65  -9
 30  58 -18 *** ***  84  10  89  32  92  40 100  53 105  47 102  50  92  32  77  14  70  -3  62  -8
 31  69 -23 *** ***  80  16 *** ***  89  40 *** *** 104  45 100  44 *** ***  83  17 *** ***  64 -14
 
 DAILY MAXIMUM PRECIPITATION OCCURRING DURING 1951-1999 FOR STATION NUMBER 6327
     JAN   FEB   MARCH APRIL MAY   JUNE  JULY  AUG   SEPT  OCT   NOV   DEC
 
  1  0.70  0.48  0.72  1.29  1.47  1.00  1.41  0.93  1.47  0.30  2.70  0.86
  2  0.76  0.58  1.50  0.65  1.19  3.16  1.90  1.17  1.64  0.50  2.74  0.95
  3  0.77  0.30  1.24  1.69  1.51  0.55  3.40  0.89  1.38  0.93  0.69  0.77
