 
 THIS IS FOR STATION NUMBER 5769 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.85   0.42  39(54) 22(30)  9(12)  2( 2)  0( 0)   15       72
 1998    898    661    603    549    482    309    271    234
 1999    668    467    424    383     37     25     22     19
     ****************************  *************************** 
 MEAN  728.3  513.5  464.6  418.2  298.5  194.4  172.0  151.1
 STDV   92.8   77.8   73.6   69.4  196.2  130.6  116.5  103.7
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-1999 FOR STATION NUMBER 5769
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  54 -16  60 -25  74 -18  85  20  87  30  88  42  97  48 102  51  99  39  92  29  77  17  64   0
  2  49  -9  64 -24  75  -6  85  17  87  27  89  42  96  45  97  52  95  45  92  31  77  10  63  -1
  3  57 -13  65 -29  79   2  82   8  87  27  89  36  95  45  97  50  93  38  89  27  73   6  64  -1
  4  56 -19  62 -24  70 -15  76  19  88  30  90  42  97  45 101  47  94  40  90  26  74   0  63   3
  5  62 -17  56 -20  70 -20  82  17  88  32  91  41  97  45  97  49  92  38  92  27  67   5  63   0
  6  57 -13  60 -15  69 -11  85   9  85  29 101  45 100  49  97  51  95  37  91  20  76   8  65  -6
  7  48 -17  62 -12  71  -5  85  18  90  29  92  46 100  49  99  46  95  36  86  18  73  -6  59  -6
  8  56 -14  65 -16  70  -4  79  18  87  30  96  46 100  55 100  46  93  37  84  27  76  -9  61  -8
  9  50 -16  62 -20  75  -3  76  19  88  31  92  44  99  50  97  47  97  41  82  24  77  -2  57  -6
 10  51 -23  60  -9  73   0  84  15  87  31  90  39 100  47  95  48  94  41  88  25  75  10  65 -11
 11  55 -13  69 -19  71   0  81  22  85  33  98  46 100  52  94  45  89  38  85  20  74   1  63  -8
 12  59 -23  60 -20  80 -16  83  15  94  31  93  47 101  53  97  43  92  36  87  26  69   0  63 -13
 13  60 -23  64  -2  75 -14  82  20  92  30  93  36 104  51  99  39  94  38  86  22  73   0  58 -17
 14  63 -23  70  -3  70   4  81  21  89  34  94  45 104  45  98  50  92  36  85  24  79   4  61 -12
 15  52 -19  66  -9  73   8  82  20  86  32  92  45 100  48 102  44  94  35  86  24  71  12  56 -16
 16  60 -20  63 -20  76  10  87  24  84  34  96  42  97  53 101  51  92  36  84  25  72   4  56 -16
 17  61 -18  64 -21  76   9  84  23  86  37  94  43 103  53 101  50  95  36  83  19  70   0  58 -10
 18  64 -20  68  -9  73   3  88  21  89  40  96  47 101  53 100  51  93  38  85  20  72   8  61 -14
 19  57 -20  64  -8  70   3  85  23  87  37 100  46 101  56  99  47  91  28  86  16  73   8  55 -16
 20  56 -19  63  -2  76   9  85  23  88  33 100  47 101  51  96  45  91  28  83  17  64  10  56 -12
 21  58 -17  65  -5  72   4  87  22  86  34 100  43 100  52  97  45  92  32  83  23  67   0  56 -18
 22  62  -7  68  -7  83  11  88  27  88  32  98  40 104  53  94  48  90  28  80  25  71   8  59 -24
 23  58 -21  68 -17  79   7  87  23  87  32  97  48 101  54  95  42  89  30  81  19  69   6  70 -27
 24  65 -13  64  -5  82   2  85  18  94  40 100  46  96  55  94  44  92  27  81  20  63   6  59 -28
