 
 THIS IS FOR STATION NUMBER  600 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  3  50 -13  56 -35  73   0  82  12  87  30  95  39  97  47 101  48  95  38  87  28  75   9  63 -10
  4  51 -16  52 -33  67  -9  82  11  91  30  95  40  99  44  96  45  96  37  91  24  72   4  63  -5
  5  57 -26  55 -25  63 -15  82  13  89  30  99  42  97  43  95  48  94  39  91  26  68   8  69   0
  6  52 -20  53 -21  69 -13  86   8  86  29  94  45 100  47  95  49  95  37  93  20  73  12  63  -7
  7  45 -18  68 -13  74  -6  79  12  85  28  95  44  98  46  99  45  97  36  87  23  73  -1  53 -15
  8  49 -19  56 -18  76  -5  77  15  89  31  99  47  98  50  99  46  93  34  85  22  70   0  53  -9
  9  47 -18  57 -25  68  -5  84  16  87  29  95  43  98  47  94  47 100  39  80  25  80  14  51 -17
 10  46 -23  59 -20  70  -3  83  17  90  27  95  42 100  48  98  50  91  35  87  25  76  13  58 -12
 11  52 -22  60 -15  76   0  84  14  88  32  95  41  98  52  98  46  90  35  84  18  73   3  60 -15
 12  54 -24  66 -18  77  -7  81  19  91  33  98  46 100  50  96  47  92  32  87  24  67   7  58 -12
 13  58 -13  57 -17  70  -8  76  18  92  32  96  43  98  47  96  43  90  34  89  26  69   2  58 -19
 14  55 -23  65 -23  70  -5  79  20  89  31  97  44 102  47 101  46  92  36  84  26  73   0  59 -18
 15  53 -22  60 -11  73   1  83  22  87  33  92  45 102  50 105  48  96  37  88  23  70  -2  57 -17
 16  54 -21  63 -17  72   4  86  21  87  30  92  41  96  52 104  46  93  34  87  26  73   2  56 -15
 17  53 -23  66 -20  76   7  85  22  90  34  93  42  96  48 104  48  93  37  85  23  72  -7  56  -9
 18  55 -21  65 -10  69   6  89  23  90  38  98  48  97  51 100  46  94  36  85  17  72   7  55 -18
 19  49 -23  60 -16  76   4  88  23  92  37  99  47  97  52 100  48  90  32  86  16  69  13  55 -30
 20  48 -24  60  -9  71   5  89  25  90  33 101  45  97  50 100  45  88  28  86  20  64  11  55 -16
 21  57 -25  59 -11  73   0  90  23  90  37 102  40  98  50  95  46  87  35  83  20  71  -1  54 -25
 22  56 -18  62 -10  81  12  94  22  94  30  98  46  98  51  95  50  86  29  81  15  67   6  55 -18
 23  54 -24  58 -13  76   5  86  22  91  30  94  46  97  52  95  46  80  30  84  21  68   5  56 -26
 24  60 -12  60 -13  80  -2  85  19  87  38  99  46  96  52  95  46  90  28  81  16  61   5  56 -20
 25  60 -12  60 -14  73   3  95  29  92  38 100  46  97  53  95  41  90  33  80  21  62  -1  53 -14
 26  50 -17  58 -15  83   5  86  32  93  34  97  49 101  48  97  44  88  30  82  19  71 -10  51 -21
 27  56 -18  65 -10  78   7  87  29  90  34  97  45 103  48 100  45  92  33  79  11  64   2  54 -14
 28  50 -18  57 -14  81   8  89  29  92  36  97  46 101  52  98  41  99  30  75  12  66  -8  67 -13
 29  51 -25 *** ***  88   6  90  20  90  35  98  50 100  48  97  41  93  26  73  13  58  -8  64 -10
 30  56 -20 *** ***  81   6  89  27  93  39  97  50 105  44  99  48  93  28  79  15  69  -8  59 -10
 31  65 -28 *** ***  81  10 *** ***  92  36 *** *** 103  45  98  42 *** ***  82  18 *** ***  61 -17
 
 DAILY MAXIMUM PRECIPITATION OCCURRING DURING 1951-1999 FOR STATION NUMBER  600
     JAN   FEB   MARCH APRIL MAY   JUNE  JULY  AUG   SEPT  OCT   NOV   DEC
 
  1  0.41  0.66  0.73  1.37  1.66  1.50  1.09  1.70  1.53  0.88  1.77  1.03
  2  0.53  0.64  1.58  1.27  0.94  2.54  3.41  0.93  1.12  0.79  1.91  0.31
  3  1.10  0.24  0.95  1.93  0.78  0.87  0.99  1.57  3.05  1.64  0.38  0.85
  4  0.69  0.76  1.76  1.36  0.75  0.38  2.73  1.14  1.50  1.31  2.68  1.30
  5  0.75  0.77  1.25  1.15  1.13  1.69  1.45  5.32  1.60  1.96  0.48  1.22
  6  0.51  0.23  1.25  1.94  3.63  2.82  1.04  1.48  1.09  0.73  0.25  0.41
  7  0.09  0.29  0.30  0.52  1.21  1.41  2.32  1.35  2.21  1.21  0.16  1.09
  8  0.40  0.72  1.45  1.07  1.08  1.86  1.21  2.33  1.56  1.36  0.27  0.53
  9  0.50  0.42  0.81  1.35  1.64  2.29  2.50  1.78  1.66  1.70  1.09  0.42
 10  0.27  0.54  0.93  0.40  2.75  2.67  4.75  3.17  0.73  1.78  0.66  0.77
 11  0.23  0.22  1.12  1.30  2.44  0.94  1.33  1.74  0.78  1.96  0.76  0.89
 12  3.25  0.39  1.41  2.22  2.41  1.56  2.01  2.37  2.79  0.99  1.24  0.83
 13  0.40  0.37  1.31  0.93  2.20  2.35  2.61  2.75  2.51  2.33  1.04  0.06
 14  0.42  0.57  0.77  0.87  1.33  2.81  6.38  1.64  1.43  1.15  0.57  0.66
 15  0.80  0.22  0.43  2.13  1.80  1.89  1.39  2.21  2.28  0.86  1.10  1.40
 16  1.47  0.58  0.65  2.10  2.32  3.32  1.52  6.02  0.73  0.86  1.55  0.40
 17  0.31  0.45  0.82  1.00  1.77  1.32  1.47  0.98  1.30  1.02  2.88  0.38
 18  0.55  0.90  1.05  1.30  1.62  1.31  2.79  0.76  2.45  1.39  1.05  0.73
 19  0.69  0.39  0.94  0.98  1.05  1.20  2.55  1.67  3.41  1.00  1.38  0.84
 20  0.63  0.69  0.89  2.17  1.33  2.28  1.56  4.08  2.89  0.65  1.34  0.86
 21  0.47  1.26  0.55  1.37  1.31  2.21  1.30  0.66  1.17  1.25  1.42  0.58
 22  0.55  1.81  0.64  0.99  1.24  1.26  1.43  2.74  1.22  2.42  0.86  0.41
 23  0.55  1.03  1.28  1.15  1.46  1.35  0.92  0.88  1.61  1.29  2.08  0.32
 24  1.25  0.48  0.61  2.75  1.20  3.28  0.70  1.40  1.68  1.48  0.47  1.26
 25  0.30  1.32  1.00  0.99  1.06  0.87  1.66  2.65  1.50  0.68  0.78  0.50
 26  0.73  0.60  1.41  1.41  1.58  1.12  2.41  3.76  2.40  0.87  0.88  0.82
 27  1.47  0.47  1.81  1.73  2.22  2.20  0.61  1.62  0.92  0.79  0.75  0.71
 28  0.42  0.76  0.91  2.47  2.05  4.26  1.67  2.00  0.64  0.54  0.96  0.66
 29  0.35******  1.26  1.29  1.50  1.17  1.15  2.56  1.65  0.78  2.06  0.61
 30  0.15******  1.30  1.45  1.77  3.78  2.00  2.93  1.16  1.33  0.56  0.52
 31  0.10******  2.15******  1.16******  2.65  0.66******  1.87******  0.27
 
 RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) DURING 1951-1999 FOR STATION NUMBER  600
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1 33   2  34   5  45   5  41   3  44   8  36   7  33  10  36   8  40   8  50   5  43   4  36   3
  2 34   4  45   5  41   5  50   6  42   5  35   4  32  12  33   9  36   6  40   8  40   4  32   3
  3 35   4  36   1  37   3  47   6  39   6  40   6  36   9  36   7  37   7  41   2  38   5  33   3
  4 41   4  45   2  41   4  52   8  45   9  35  11  36  10  35   9  38   8  38   2  36   3  33   7
  5 39   2  41   2  35   5  44   4  39   7  40  10  34  11  33   7  38   4  43  10  34   4  35   4
  6 41   3  32   4  46   5  42   8  44   7  41  10  40   8  43   9  42   9  42   7  37   4  36   3
  7 33   5  40   3  44   7  47  10  40   5  41   7  33   7  41   4  37  10  41   3  37   4  37   4
  8 39   4  35   3  46   5  40   3  42   4  33   7  33  12  35   6  36   9  43   5  37   2  28   3
  9 35   6  37   4  45   7  45   5  42   5  38   8  34  10  33  12  40   5  42   8  43   3  37   4
 10 39   5  39   3  36   4  43   5  42  10  41  11  36   9  33  14  46  11  50   6  40   5  36   3
 11 38   4  40   6  44   3  41   5  36   5  38   8  30   5  32  12  41   4  42   6  39   4  40   4
 12 41   4  41   3  33   3  39   1  42   5  37   7  32   6  33   7  48   8  39   7  43   5  31   4
 13 35   2  42   5  34   4  45   3  43   9  37  11  38  13  35   9  39   8  44   5  40   4  38   3
 14 31   2  53   2  42   5  42   6  40   8  39   8  34   9  40  12  37   9  47   4  42   4  38   2
 15 43   4  34   3  34   2  43   3  38   9  36   5  34   9  41   9  36   6  42   5  38   7  38   4
 16 45   5  39   4  36   5  42   4  42   8  37   7  33  14  32   9  44   7  45   7  33   6  34   5
 17 41   3  37   2  35   3  48   4  46   8  36  13  39  11  34  12  38   5  41   5  35   4  31   2
 18 36   5  38   2  36   4  39   7  50   4  34   9  30  11  33  10  43   7  52   5  45   4  36   3
 19 47   3  39   3  42   4  46   4  40   6  34   6  32  10  30   6  40   5  39   7  44   6  40   2
 20 38   3  36   4  33   3  41   7  42  10  35  12  28   8  32   5  36   9  39   4  32   3  33   4
 21 35   4  43   3  34   6  41   6  37  11  33  10  33   6  33   7  38   5  38   4  34   3  40   5
 22 52   4  36   4  47   5  38   5  39   7  32  12  32   7  34  10  52  10  40   4  37   6  38   4
 23 37   3  36   3  42   7  39   5  38   1  35  13  35   7  34  10  38   7  39   6  35   3  29   3
 24 38   1  43   5  50   4  41   6  34   9  36  13  33   6  34   5  44   8  49   5  42   5  41   3
 25 33   3  42   6  49   5  39   6  35   8  34  14  33  10  40   7  43   8  43   6  32   4  33   4
 26 38   6  38   7  45   4  41   8  36   7  34   9  40   7  36   8  46   8  43   5  40   3  34   4
