 
 THIS IS FOR STATION NUMBER 9067 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 STDV   53.2   52.9   52.5   51.8   65.6   64.6   63.5   61.7
 
               SEPTEMBER                   OCTOBER
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    579    398    359    322      0      0      0      0
 1952    716    515    470    428     67     43     37     31
 1953    497    355    324    294      0      0      0      0
 1954    786    563    511    462    315    206    182    158
 1955    740    537    492    447    287    180    158    136
 1956    683    480    436    395    611    420    380    343
 1957    672    467    421    378    286    183    159    139
 1958    736    516    468    424      0      0      0      0
 1959    743    528    479    432    153     81     66     51
 1960    776    559    510    461    332    232    208    185
 1961    719    505    457    411    424    280    247    217
 1962    667    463    418    376    477    314    277    243
 1963    769    542    492    446    742    521    472    425
 1964    711    498    448    402     85     59     53     47
 1965    669    452    406    362    382    247    218    189
 1966    652    447    404    364    360    238    212    186
 1967    668    463    420    378    201    132    117    105
 1968    721    500    453    407    435    292    258    227
 1969    746    524    474    426    273    183    165    149
 1970    746    523    473    425    266    174    155    137
 1971    826    604    554    505    627    428    382    336
 1972    792    571    517    466    262    165    146    129
 1973    752    521    467    417    581    395    353    313
 1974    623    426    382    341      7      3      2      1
 1975    629    423    378    335    306    215    195    176
 1976    718    506    459    415    135     91     82     73
 1977    784    549    494    441    162     91     76     62
 1978    858    631    577    525    414    246    212    178
 1979    774    552    503    458    168    104     91     78
 1980    805    574    519    469    182    119    105     92
 1981    728    509    459    411    290    176    151    131
 1982    728    509    459    411    359    230    203    176
 1983    775    556    504    453    435    253    218    184
 1984    695    492    446    402      0      0      0      0
 1985    764    549    501    454    435    259    221    190
 1986    820    588    531    476    445    266    227    193
 1987    707    480    431    387     39     31     29     27
 1988    797    572    522    473     64     41     36     31
 1989    634    433    389    346    455    293    258    229
 1990    773    554    506    460    264    166    148    130
 1991    542    397    364    332      0      0      0      0
 1992    605    414    371    329    240    155    139    124
 1993    540    339    298    260    160    113    102     91
 1994    694    474    426    383    184    116     99     85
 1995    495    340    305    275      0      0      0      0
 1996    650    442    399    359    306    202    178    155
 1997    732    512    463    414    401    279    250    221
 1998    826    598    544    493    285    174    150    129
 1999    644    452    408    370    253    176    160    144
     ****************************  *************************** 
 MEAN  708.5  498.2  451.1  406.3  268.7  175.2  154.8  135.8
 STDV   84.5   67.9   63.3   58.6  183.6  123.4  110.3   98.1
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-1999 FOR STATION NUMBER 9067
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  50 -13  55 -23  62 -25  79  19  88  30  90  37  98  50  99  52  99  39  91  27  77  16  62   4
  2  48 -17  60 -26  74  -6  85  17  88  30  88  37  95  47  99  51  98  41  94  24  75   9  67  -2
  3  52 -10  53 -29  75   1  83  13  88  31  95  41  96  48 100  48  95  38  87  27  77   9  66  -9
  4  50 -18  61 -31  72  -8  80  11  90  30  92  41 101  45  98  46  95  37  93  29  75   5  65  -4
  5  56 -27  57 -21  68 -13  78  16  88  31  97  41 100  45  95  48  95  40  91  28  69   5  71  -4
  6  57 -17  54 -16  70 -18  80   5  84  28  92  46  98  47  97  48  96  39  93  18  73  12  65  -6
  7  48 -16  60 -11  79 -12  85  12  86  29  96  45  97  46  97  47  95  36  88  22  75   1  53 -13
  8  50 -17  57 -15  76  -5  78  16  90  32  98  47  97  48  99  47  95  36  86  22  71  -2  54  -6
  9  48 -16  58 -23  70  -3  83  17  90  28  94  42  97  48  94  48  98  38  83  25  80   3  54 -18
 10  50 -24  57 -17  70  -3  82  18  88  26  94  42  98  46  99  50  91  36  89  21  77  11  59 -13
 11  52 -17  60 -15  73   3  83  18  89  29  95  42  98  49  97  48  91  34  86  19  76   4  61 -18
 12  56 -28  62 -16  69  -4  82  20  92  34  97  42  99  50  98  47  92  31  88  26  68  10  59  -9
 13  59 -11  67 -14  78   0  77  18  89  32  97  45  99  49  95  41  92  33  90  27  69   3  60 -19
 14  56 -26  62  -9  72  -6  78  21  88  35  96  44 103  47 101  48  90  34  85  27  79   2  59 -15
 15  57 -20  60 -11  75   5  84  23  88  32  95  46 100  47 105  46  93  37  85  25  73  -7  55 -16
 16  56 -23  64 -18  76   2  87  19  88  30  92  42  98  48 103  45  91  35  87  26  72   6  57 -20
 17  56 -25  67 -20  78   8  85  20  88  35  92  44  97  50 103  48  91  36  85  23  70  -4  53  -9
 18  56 -20  67 -11  70   4  87  21  90  37  98  45  99  54 102  45  93  37  86  15  74   7  56 -20
 19  49 -26  64 -14  76   4  88  22  91  35  97  44  97  52 101  50  90  34  85  17  74   7  55 -27
