 
 THIS IS FOR STATION NUMBER 4389 1951-> 2000
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 18  62 -16  67 -17  74   1  88  19  91  39  97  48 102  53 107  48  96  34  88  20  76  11  62 -14
 19  65 -20  65 -15  75   9  84  24  90  37  98  40 101  52 104  48  93  33  87  15  70  16  60 -23
 20  55 -23  66 -11  75  10  92  27  90  33 100  43 103  53 104  45  89  29  87  20  68  10  59 -17
 21  69 -20  66  -5  78   6  89  25  90  34  99  42 103  50 102  45  90  32  87  18  69   6  61 -18
 22  67 -12  67 -10  83  15  89  25  92  34  99  47 107  51  96  51  94  29  86  20  71  11  61 -20
 23  62 -21  64  -8  80   8  87  25  89  32  95  48 102  52  98  46  88  27  85  23  70   8  63 -25
 24  63  -9  71  -4  82   6  88  20  90  38  99  46  99  55  98  46  89  31  82  21  68   6  63 -23
 25  62 -10  72  -4  81   7  92  30  93  36 105  48 103  54 100  45  90  36  82  26  65   6  59 -18
 26  54 -12  71 -11  86   3  91  31  93  36  98  49 102  50 102  48  93  29  85  22  73   2  56 -18
 27  57 -18  74  -4  83  15  90  30  90  36  98  45 107  50 101  48  92  34  78  23  72  10  59 -12
 28  57 -27  70  -9  81  12  90  31  93  37  98  50 106  53 100  36 100  32  78  23  65   0  69  -8
 29  61 -18 *** ***  88  12  90  28  92  37  98  50 107  48 100  38  96  23  79  15  71  -2  67  -9
 30  60 -13 *** ***  87  13  89  32  93  40 102  52 107  46 102  48  92  25  80  16  70  -4  65 -12
 31  70 -20 *** ***  82  11 *** ***  93  38 *** *** 106  46 102  43 *** ***  84  21 *** ***  64 -11
 
 DAILY MAXIMUM PRECIPITATION OCCURRING DURING 1951-2000 FOR STATION NUMBER 4389
     JAN   FEB   MARCH APRIL MAY   JUNE  JULY  AUG   SEPT  OCT   NOV   DEC
 
  1  1.53  0.31  0.85  1.81  2.07  2.25  1.79  1.00  1.48  1.18  2.76  1.30
  2  0.72  0.96  0.95  2.52  0.79  1.24  1.66  1.16  1.00  1.38  1.31  1.50
  3  1.53  0.34  1.11  1.17  1.61  4.16  3.09  1.55  1.00  1.12  0.95  1.33
  4  0.55  0.60  1.50  0.90  1.49  0.56  3.13  2.27  1.22  2.31  0.86  0.68
  5  1.86  0.62  1.43  0.80  0.95  2.68  1.86  3.21  2.15  3.49  0.61  1.30
  6  0.39  0.63  1.25  1.91  1.59  1.48  1.36  3.43  1.63  1.68  0.65  0.43
  7  1.12  0.53  0.50  0.48  2.13  1.72  2.63  2.80  2.53  0.95  0.68  1.57
  8  0.22  0.33  0.96  1.16  2.35  2.13  1.60  0.87  1.20  1.32  0.55  2.10
  9  0.42  0.31  0.80  1.50  3.78  1.76  1.01  1.97  1.86  1.66  0.56  0.52
 10  0.47  0.88  0.80  1.51  2.90  1.46  1.03  2.07  0.84  2.74  1.95  0.53
 11  0.27  0.48  1.69  1.94  1.65  1.28  2.00  2.13  1.32  0.76  1.03  1.65
 12  1.03  0.62  1.44  1.02  3.48  1.92  0.83  1.25  1.40  0.97  1.03  0.61
 13  1.08  0.37  0.73  0.87  1.70  1.68  1.56  1.46  7.15  1.46  0.96  0.40
 14  0.31  0.79  0.82  1.45  1.15  2.18  2.32  1.31  3.00  2.10  0.41  1.06
 15  0.58  0.85  1.15  0.62  0.77  1.34  2.32  2.88  1.05  1.35  1.27  2.76
 16  0.55  0.96  0.65  1.30  1.48  1.38  1.21  1.75  2.38  0.54  1.95  0.93
 17  0.39  0.66  0.72  1.83  1.73  2.18  1.25  2.22  1.56  1.30  1.93  0.33
 18  0.62  0.75  1.08  1.25  2.47  0.67  1.70  0.46  3.50  1.82  1.68  0.96
 19  0.44  0.48  0.66  1.05  0.98  1.20  1.42  1.32  1.05  2.45  0.41  0.42
 20  0.60  1.25  1.21  2.22  0.95  2.33  2.20  1.56  2.30  1.30  1.22  1.13
 21  0.68  2.00  0.82  4.20  0.96  2.84  5.86  0.90  1.77  0.55  1.85  0.51
 22  0.75  0.50  0.60  1.66  1.70  2.57  2.25  1.83  2.68  2.15  1.17  0.41
 23  1.14  0.96  0.87  2.04  1.41  1.80  1.65  2.03  5.09  2.20  1.34  0.85
 24  0.62  0.92  1.14  2.13  2.13  1.63  1.62  1.01  1.85  1.15  0.47  2.03
 25  0.52  0.32  1.26  1.55  2.25  2.34  2.12  3.00  2.63  0.52  0.93  0.64
 26  1.32  0.45  0.86  0.82  1.35  1.76  2.93  2.50  2.00  1.32  0.50  0.13
 27  0.50  0.78  1.32  0.92  2.77  1.09  1.97  0.82  2.60  0.71  0.72  0.94
 28  0.44  0.65  0.69  2.35  1.31  0.95  1.63  0.68  3.05  0.74  1.02  0.51
 29  0.34******  1.51  0.97  0.87  1.29  2.09  1.18  1.32  0.46  0.64  0.86
 30  0.62******  1.42  1.37  1.31  1.63  3.05  1.18  1.10  1.13  1.43  0.76
 31  0.60******  1.63******  1.07******  3.65  2.88******  1.75******  0.69
 
 RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN)     DURING 1951-2000 FOR STATION NUMBER 4389
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1 33   4  43   6  44   4  42   8  47  12  42  10  33  13  39  11  38   9  47   4  44   3  41   3
  2 29   6  41   3  42   4  48   6  40  11  35   5  34  13  37   6  38   8  42   4  37   5  37   3
  3 40   4  41   3  37   3  43   6  41  10  39   8  37   8  40  11  40   8  45   5  41   5  36   5
  4 45   4  45   3  43   6  43   7  43   3  36   9  37  10  36  14  40  10  39   5  40   4  37   5
  5 42   4  46   2  44   6  48   7  39   7  40   8  37  10  37  11  38  10  42  10  39   5  35   4
  6 33   2  41   5  45   3  43   8  42   8  39  11  39  12  41   7  43  11  42   7  42   3  36   3
  7 34   4  37   4  44   5  52  10  38   5  42  11  35  11  44   9  42  10  46   8  43   6  35   2
  8 43   4  40   5  45   3  39   7  40   4  42   7  33  12  38   9  44  10  43   8  41   5  32   4
  9 33   4  38   3  47   4  47   5  44   7  38  13  34  15  35  12  46   7  41   3  35   4  34   4
 10 39   5  36   6  49   5  45   8  39  10  38  12  39  11  37  10  43  11  45   7  43   4  36   4
 11 39   4  41   8  44   5  40   1  40  10  37  11  34  11  37  10  43   9  49   8  39   2  36   3
 12 42   4  43   4  40   4  37   2  38  10  38   5  36  10  44   8  45  11  41   8  46   4  31   3
 13 37   3  38   4  36   6  43   6  47   6  38   4  34  13  38  13  40  11  41   9  43   3  38   4
 14 39   5  40   3  42   5  38   4  42  13  36  12  35  12  43   9  37   8  46   6  35   7  33   2
 15 45   3  43   4  42   8  41   6  41  14  38  13  35   9  37  11  43  11  45   6  44   3  37   5
 16 40   7  48   5  38   8  40   9  46  10  41  14  35  13  37  12  44   6  43   6  36   4  38   5
 17 43   2  40   4  37   5  47   6  38   8  35  13  37  13  38  11  44   8  39   8  35   5  30   2
 18 62   5  37   5  40   4  40  13  50   5  35  13  33  10  37  11  42   8  47   6  49   4  39   4
 19 44   3  41   2  38   2  38   8  39   8  36  16  32  10  36   9  39   4  41   9  37   6  39   4
 20 43   4  44   5  37   5  42   7  41  15  38   9  33   7  38  12  42   9  41   7  39   6  34   3
 21 48   3  38   3  38   6  40   8  42   8  37  13  35   8  35  10  42   7  39   9  36   5  40   4
 22 40   2  36   5  47   6  43  10  40  10  35  10  36  12  38  14  43  10  42   7  39   4  38   1
 23 42   3  38   5  38   5  40  12  39   7  34  11  39  10  37  14  41   9  43   5  40   6  32   3
 24 44   6  41   4  48   6  39  11  41   6  34  12  34  10  42   9  45   4  49   6  39   5  38   5
 25 39   5  40   4  48   5  42   9  37  10  33  14  36  11  41   9  42   7  44   3  34   5  38   3
 26 34   7  39   6  45   5  40   8  37   5  33  10  42  13  37   8  50   7  45   9  39   3  38   4
 27 36   4  40   3  46   5  38   8  37   5  37  11  38  10  38   9  42   9  45   6  39   1  34   1
 28 47   4  40   5  41   7  45   7  40   7  43   9  35  11  41  11  50   6  40   7  37   4  39   3
 29 39   2  **  **  45   5  43   6  38  13  35  12  36  13  40  10  42  12  43   5  37   3  44   4
 30 40   5  **  **  44   5  42  11  35   9  34  14  39  12  40  12  43   9  44   6  45   5  38   2
 31 42   6  **  **  43   6  **  **  40  11  **  **  37  13  41   9  **  **  39   3  **  **  37   4
 
 DAILY  MEAN  HIGHS AND LOWS OCCURRING DURING 1951-2000 FOR STATION NUMBER 4389
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
