 
 THIS IS FOR STATION NUMBER 5837 1951-> 2000
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 26  0.96  0.89  0.46  0.55  2.97  1.00  2.27  3.46  2.78  1.44  1.04  0.20
 27  0.48  0.99  0.78  1.35  1.50  2.68  1.37  0.81  2.87  0.89  0.83  0.87
 28  0.52  0.26  1.01  0.98  1.45  0.72  1.10  3.10  2.72  0.75  0.93  0.69
 29  0.39******  1.17  1.01  1.87  1.55  1.02  1.38  0.73  0.89  0.69  0.88
 30  0.35******  1.22  1.79  1.04  3.70  1.90  2.04  0.97  1.60  1.24  0.90
 31  0.39******  2.55******  1.70******  1.89  1.36******  2.82******  0.73
 
 RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN)     DURING 1951-2000 FOR STATION NUMBER 5837
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1 36   2  38   5  41   5  41   6  42  10  34   6  35   8  32   8  36  11  48   5  41   3  34   3
  2 32   3  41   6  41   5  50   6  39  11  32   3  30  13  33   7  36   8  39   9  34   4  41   2
  3 34   4  33   2  34   4  42   4  37  12  38   5  31   6  34   7  36  10  38   6  36   4  28   5
  4 37   4  40   4  39   5  45   9  34   4  35   8  32  10  33  10  36  11  38   7  38   5  31   5
  5 41   3  34   3  34   4  46   6  39   6  35   8  32   7  28   8  33  12  38   5  33   3  32   2
  6 33   2  43   2  42   3  37   8  39   3  40  11  36   8  38   8  40   9  37   5  39   3  33   3
  7 34   6  36   3  38   5  43  10  37   5  40   6  29   8  38   7  33  11  41   5  36   4  30   4
  8 39   3  33   4  41   3  40   5  39   4  37   9  30  12  38   6  39   6  39   9  38   4  32   4
  9 35   4  33   6  37   4  40   8  40   4  34   7  32  12  34  11  42   4  37   4  36   4  27   4
 10 38   5  38   5  39   2  44   8  36   9  36  11  32  12  38  10  45   8  39   6  38   3  36   2
 11 39   4  40   3  40   4  37   3  38   9  38   5  32   7  33  11  40   5  43   7  34   2  29   3
 12 37   3  40   3  34   4  35   3  38   6  32   6  32   9  31   8  43  10  40   9  44   5  30   3
 13 30   4  39   4  34   4  42   6  42   9  37  10  31   9  32  12  39   9  42  11  43   4  38   4
 14 32   4  33   2  36   6  39   7  42   7  37  11  31   6  37  11  37   6  38   6  36   3  33   1
 15 44   3  35   4  39   6  36   9  38  10  36  11  31  11  36  13  38   8  41   5  35   6  30   3
 16 40   4  38   4  34   6  38   7  44   8  31  11  30  12  33   8  38   8  42   6  38   3  34   3
 17 30   3  37   3  37   5  51   9  36   6  33  14  32   9  34   9  38   6  35   5  35   3  34   2
 18 52   5  33   4  37   5  39   8  47   7  32  10  31  10  32   9  38   8  44   8  41   4  32   3
 19 48   4  37   1  38   4  40   6  37   6  30  12  30   7  30   8  37   4  40   4  40   4  36   2
 20 45   2  35   5  36   5  37   6  42  11  34   8  28   6  35   8  34   6  37   6  33   4  29   2
 21 44   2  37   4  37   2  39   8  37  11  34   8  30   5  33   9  37   6  36   5  31   4  41   3
 22 41   2  34   4  46   4  37  10  34  11  31   7  37   9  34  11  40  10  41   5  30   2  32   3
 23 58   3  34   2  37   2  39   9  36  10  33   6  34  10  30  11  41   7  39   5  32   4  29   3
 24 39   2  36   5  40   5  37   8  35   7  31   3  33  12  32  11  43   4  45   3  38   2  43   3
 25 36   6  34   5  36   5  37   8  35   5  33  14  30   6  35   8  45   8  41   7  31   4  43   4
 26 35   5  35   3  45   5  35   5  40   6  34   8  31   6  33   8  43   7  39   2  32   4  38   2
 27 33   5  34   4  44   5  37   7  35   6  37   9  41   9  32   6  43   9  43   6  36   4  30   4
 28 39   4  38   5  38   5  38   8  35   3  39   5  34  11  34  10  44   5  38   5  35   3  34   2
 29 36   2  **  **  35   7  44   6  38   8  36   7  31  13  37   9  37  11  41   8  33   3  42   4
 30 31   4  **  **  44   5  41   8  33  12  31   8  33   9  34   8  38   9  44   4  39   3  38   3
 31 36   4  **  **  48   2  **  **  36   9  **  **  35   6  37  12  **  **  43   5  **  **  34   1
 
 DAILY  MEAN  HIGHS AND LOWS OCCURRING DURING 1951-2000 FOR STATION NUMBER 5837
