 
 THIS IS FOR STATION NUMBER  576 1951-> 2000
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 24  65  -9  66 -11  82   5  85  18  96  40  98  46  99  52  97  50  88  26  81  22  65   1  60 -21
 25  59  -8  74  -3  80   8  89  29  95  42 101  45  99  51 100  45  94  33  82  22  69   1  59 -21
 26  52  -8  69 -15  85   2  93  30  93  39 101  47 101  49 102  47  97  32  87  20  72   3  58 -12
 27  56 -17  70  -7  79  13  94  28  94  35 100  48 104  49 102  42  94  34  80  18  65   5  59  -9
 28  53 -20  76 -14  82   4  90  30  89  35  99  51 104  53  99  41 102  30  84  17  67  -6  68  -9
 29  59 -28 *** ***  89  10  90  26  90  38  98  52 101  51  98  45  95  26  78  18  69  -8  67  -9
 30  60 -20 *** ***  87   9  88  30  92  40  97  51 105  40  97  50  91  29  78  21  70 -11  61  -9
 31  68 -29 *** ***  84  17 *** ***  91  37 *** *** 105  41  98  44 *** ***  83  15 *** ***  61 -18
 
 DAILY MAXIMUM PRECIPITATION OCCURRING DURING 1951-2000 FOR STATION NUMBER  576
     JAN   FEB   MARCH APRIL MAY   JUNE  JULY  AUG   SEPT  OCT   NOV   DEC
 
  1  0.33  1.78  1.08  0.76  2.00  2.50  2.02  1.96  2.10  1.24  1.80  0.70
  2  0.65  0.55  1.10  0.80  1.42  1.90  3.34  1.98  2.19  0.67  1.43  0.40
  3  0.93  0.47  0.90  1.39  1.04  0.80  1.76  1.33  1.50  1.52  0.54  0.51
  4  1.52  0.70  0.79  1.60  0.94  2.04  1.96  1.74  1.57  0.65  1.49  1.13
  5  1.60  0.65  0.75  1.12  2.09  1.68  2.53  2.12  1.37  2.85  2.61  0.50
  6  0.51  0.40  0.68  0.66  0.96  1.91  1.29  3.04  2.73  1.21  0.92  0.30
  7  0.15  0.30  0.51  0.70  3.07  2.07  0.95  1.55  1.55  1.68  0.86  1.35
  8  0.08  0.15  1.26  1.00  1.83  2.20  1.98  2.05  1.18  1.60  0.40  0.32
  9  0.23  0.15  0.52  1.85  1.92  3.21  3.52  5.00  3.92  1.58  1.47  0.52
 10  0.66  0.56  1.30  0.97  1.83  1.00  1.26  0.62  1.26  1.94  0.90  0.65
 11  0.13  0.44  0.60  0.86  1.11  3.35  1.08  1.60  1.90  5.52  0.67  0.45
 12  2.04  0.21  1.19  2.10  1.45  3.19  3.37  1.92  2.40  1.44  2.21  0.68
 13  1.16  0.43  1.51  2.00  1.87  1.75  1.37  3.25  1.80  1.90  1.87  0.52
 14  0.26  0.35  1.05  0.96  1.48  1.66  1.25  1.40  2.49  0.84  0.42  0.93
 15  0.50  0.82  0.75  1.90  1.46  3.02  2.30  1.30  1.62  1.03  0.89  0.47
 16  0.60  0.33  0.43  1.10  2.01  1.81  2.12  2.35  1.05  0.61  1.44  0.80
 17  0.28  0.52  1.25  1.15  2.48  1.66  2.30  1.71  1.25  1.62  5.07  0.30
 18  1.60  1.95  1.32  2.96  1.06  2.48  2.20  2.12  2.70  0.92  1.25  1.70
 19  0.20  0.92  0.60  0.86  1.70  1.14  2.15  0.61  1.80  0.87  0.74  0.33
 20  0.78  0.66  0.86  1.45  3.00  2.61  1.51  2.06  2.00  0.84  2.28  0.63
 21  0.72  1.18  0.20  1.96  1.68  1.72  2.06  1.99  1.52  0.93  0.61  0.25
 22  0.45  0.65  0.60  1.16  2.85  1.10  3.39  1.16  2.73  2.80  0.41  0.51
 23  0.29  0.63  0.40  0.89  2.23  2.30  1.97  2.00  2.30  1.46  1.62  1.30
 24  0.27  0.52  1.61  1.32  2.40  2.78  0.93  1.70  1.80  0.99  0.30  0.40
 25  0.28  1.12  1.56  1.50  2.05  1.69  5.73  2.07  1.70  0.35  0.39  0.50
 26  0.83  0.66  1.42  3.61  1.66  3.58  1.52  2.52  1.50  1.10  0.36  0.20
 27  0.70  0.66  1.65  1.39  1.85  1.32  1.67  1.14  1.21  0.42  0.83  1.32
 28  0.30  0.20  1.12  1.55  2.01  2.22  1.62  2.22  1.40  0.69  0.43  0.96
 29  0.63******  1.04  1.37  1.35  1.85  1.15  2.40  1.78  0.87  0.86  0.29
 30  0.21******  1.46  1.25  2.56  5.31  2.49  1.31  1.69  1.53  1.75  0.21
 31  0.37******  1.76******  2.30******  2.35  4.75******  3.47******  0.41
 
 RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN)     DURING 1951-2000 FOR STATION NUMBER  576
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1 45   2  41   6  52   5  44   4  48   5  39   8  41  12  36  13  40  10  49  10  41   4  35   3
  2 34   3  50   6  45   2  46   2  46  10  37   5  32  14  34  13  43  12  43   9  41   3  39   2
  3 37   3  44   6  34   2  43   4  39   8  40   6  35  14  36   9  42  14  41   2  38   4  37   4
  4 37   3  46   2  42   3  45   7  39   8  34  10  31   5  36   9  44   7  42   4  42   4  38   3
  5 41   4  46   3  43   5  48   6  42  11  37  11  36  10  36  10  35   9  46  10  39   4  47   6
  6 39   3  35   3  50   5  48   8  41   9  36  11  36   7  32   9  49  12  40   8  43   3  40   4
  7 39   3  41   2  43   3  50  10  38   5  37   8  30  10  38   6  38   5  45   7  38   5  44   3
  8 38   3  35   3  42   2  42   6  36   5  34   8  32  14  41  12  41  10  41   8  46   2  36   4
  9 34   7  39   4  44   6  47   5  36   8  37   6  34  10  35   7  38  12  45   6  38   6  47   2
 10 38   7  37   5  39   3  46   4  41   9  43   9  37  10  37  12  42  14  49  10  43   3  40   2
 11 40   3  39   4  43   3  45   3  39   9  32   8  33   9  37  10  40   9  49   6  44   2  37   1
 12 36   6  42   2  45   5  40   5  44   7  34   7  34  11  41   9  45   9  44   8  44   6  35   3
 13 40   4  42   5  48   5  42   3  41   7  33   7  36  13  37   8  36   6  41   6  42   3  36   7
